URL;First class;Second class;Summary
https://sun9-25.userapi.com/c857328/v857328636/1fa78/paHomWuXcJM.jpg;Непонятно;;
https://sun9-29.userapi.com/c857724/v857724636/c0c98/KtJrS8pJmF8.jpg;Непонятно;;
https://sun9-7.userapi.com/c849028/v849028190/1b2ee6/Pfk0WGYBlAg.jpg;Непонятно;;
https://sun9-7.userapi.com/c849028/v849028190/1b2ee6/Pfk0WGYBlAg.jpg;Непонятно;;
https://sun9-2.userapi.com/c846017/v846017729/1eac29/-XhAfV8HZVY.jpg;Истероидный;;
https://sun9-43.userapi.com/c845018/v845018119/1e9674/8k0oVkO3sCM.jpg;Эмотивный;;
https://sun9-62.userapi.com/c848416/v848416103/1523d2/XaNe68il4Hk.jpg;Эмотивный;;
https://sun9-2.userapi.com/c850432/v850432052/e7a8e/RtjjMZxGUd8.jpg;Непонятно;;
https://sun9-38.userapi.com/c851016/v851016279/70b36/JDd4QEkAvhs.jpg;Непонятно;;
https://sun9-58.userapi.com/c850136/v850136870/6077c/4-NZn8lNmJg.jpg;Истероидный;;
https://sun9-18.userapi.com/c849128/v849128026/abca5/YPnwl_7Cl2s.jpg;Непонятно;;
https://sun9-40.userapi.com/c845020/v845020565/e3be6/Aja__V__Yo4.jpg;Истероидный;;
https://sun9-44.userapi.com/c840222/v840222485/4d49f/0cvdjpnmGgM.jpg;Истероидный;;
https://sun9-15.userapi.com/c636327/v636327614/2fa1a/6HFlVKVJ_Hg.jpg;Истероидный;;
https://sun9-69.userapi.com/c630321/v630321614/2b4f2/eVj0oP-SU7Y.jpg;Истероидный;;
https://sun9-26.userapi.com/c630321/v630321614/2b109/KfpMA6ad-s8.jpg;Непонятно;;
https://sun9-5.userapi.com/c630321/v630321614/2b071/zclUGyffHSI.jpg;Истероидный;;
https://sun9-67.userapi.com/c622827/v622827614/5279f/zmTyamGPTRY.jpg;Истероидный;;
https://sun9-28.userapi.com/c628421/v628421614/eb7c/2jD5eA5sFFs.jpg;Непонятно;;
https://sun9-14.userapi.com/c624231/v624231614/386a5/nr5k2p4fINw.jpg;Истероидный;;
https://sun9-54.userapi.com/c627424/v627424614/728/DQ6AMgXjtzg.jpg;Непонятно;;
https://sun9-32.userapi.com/c624528/v624528614/2ea6a/PVvm8hyJuyQ.jpg;Непонятно;;
https://sun6-19.userapi.com/Gxe6Ot9zK2bgD5tZ-aRHmnH4oBmjSuRFfH1Hnw/ZPNgGNBnr20.jpg;Непонятно;;
https://sun6-16.userapi.com/jhJV3KrLSOi5iMtI6efstPbYk2rO-SwZ4LXx7Q/kROFE_UeukY.jpg;Непонятно;;
